Date,Open,High,Low,Close
6/26/2018,460.73,461.21,432.77,432.77
6/27/2018,432.24,444.24,424.84,442.36
6/28/2018,442.29,443.62,419.68,422.36
6/29/2018,422.59,441.79,407.95,436.01
6/30/2018,436.21,458.80,436.21,455.18
7/1/2018,455.24,457.14,446.39,453.92
7/2/2018,453.82,479.13,447.11,475.35
7/3/2018,475.39,483.85,462.58,464.20
7/4/2018,464.15,481.44,455.18,467.32
7/5/2018,467.29,483.23,464.63,474.41
7/6/2018,474.36,479.65,457.61,474.01
7/7/2018,474.06,491.66,466.84,491.66
7/8/2018,492.07,503.20,488.42,489.12
